Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Team_Worker,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
4,6,1,1,yes,no,distro making,web technologies,poor,medium,data engineering,testing,Product based,yes,Biographies,Management,hard worker,no,no,CRM Technical Developer
6,2,4,4,yes,yes,app development,testing,excellent,excellent,IOT,system developer,Web Services,yes,Childrens,Technical,smart worker,yes,no,CRM Technical Developer
8,0,4,1,no,no,python,system designing,medium,poor,parallel computing,security,Product based,yes,Dictionaries,Technical,hard worker,no,no,CRM Technical Developer
1,3,8,6,yes,no,r programming,testing,excellent,excellent,Computer Architecture,system developer,SAaS services,no,Math,Technical,hard worker,no,no,CRM Technical Developer
5,5,2,6,no,no,hadoop,data science,medium,excellent,cloud computing,system developer,Cloud Services,yes,Autobiographies,Management,smart worker,no,yes,CRM Technical Developer
9,2,7,8,yes,yes,app development,testing,medium,excellent,Management,Business process analyst,Web Services,no,Guide,Management,hard worker,no,no,CRM Technical Developer
4,5,1,9,no,no,distro making,web technologies,excellent,excellent,IOT,system developer,Service Based,no,Drama,Management,hard worker,yes,no,CRM Technical Developer
3,6,9,2,no,yes,python,database security,medium,excellent,IOT,testing,Sales and Marketing,no,Health,Technical,hard worker,no,yes,CRM Technical Developer
6,0,7,1,yes,yes,full stack,web technologies,excellent,excellent,IOT,system developer,Web Services,yes,Math,Technical,smart worker,yes,no,CRM Technical Developer
6,6,6,5,yes,no,distro making,cloud computing,poor,medium,parallel computing,Business process analyst,Web Services,yes,Religion-Spirituality,Technical,hard worker,yes,no,CRM Technical Developer
9,1,3,7,no,yes,machine learning,hacking,excellent,poor,Management,cloud computing,product development,no,Action and Adventure,Technical,smart worker,no,yes,CRM Technical Developer
9,5,3,9,yes,no,r programming,testing,poor,excellent,IOT,system developer,Testing and Maintainance Services,no,Self help,Technical,hard worker,yes,no,CRM Technical Developer
1,6,4,4,yes,yes,hadoop,game development,poor,medium,parallel computing,security,SAaS services,yes,Dictionaries,Technical,smart worker,no,yes,CRM Technical Developer
2,6,7,4,no,yes,information security,testing,excellent,excellent,data engineering,Business process analyst,Product based,no,Religion-Spirituality,Technical,smart worker,no,yes,CRM Technical Developer
5,1,7,6,no,no,full stack,cloud computing,poor,excellent,data engineering,cloud computing,Sales and Marketing,yes,Anthology,Management,smart worker,yes,no,CRM Technical Developer
7,0,8,1,yes,yes,app development,testing,medium,excellent,IOT,security,product development,no,Religion-Spirituality,Management,smart worker,yes,yes,CRM Technical Developer
1,6,2,3,yes,no,python,cloud computing,medium,poor,hacking,Business process analyst,product development,yes,Diaries,Management,hard worker,no,yes,CRM Technical Developer
9,5,3,9,yes,yes,full stack,database security,medium,poor,Management,testing,Sales and Marketing,yes,Biographies,Management,smart worker,yes,no,CRM Technical Developer
9,0,3,6,no,yes,r programming,game development,medium,poor,networks,testing,Cloud Services,yes,Diaries,Management,hard worker,yes,yes,CRM Technical Developer
9,3,6,7,no,yes,distro making,system designing,excellent,poor,hacking,Business process analyst,Service Based,no,Science fiction,Management,hard worker,no,no,CRM Technical Developer
3,4,4,8,yes,no,information security,system designing,poor,poor,hacking,testing,Service Based,yes,Science fiction,Management,hard worker,yes,yes,CRM Technical Developer
9,6,8,2,no,no,full stack,system designing,excellent,excellent,cloud computing,testing,Finance,yes,Trilogy,Management,hard worker,yes,yes,CRM Technical Developer
3,5,8,7,yes,no,hadoop,game development,poor,excellent,Management,system developer,BPA,yes,Series,Management,hard worker,no,yes,CRM Technical Developer
7,2,1,3,yes,no,full stack,testing,medium,medium,parallel computing,system developer,BPA,no,Dictionaries,Technical,hard worker,no,no,CRM Technical Developer
3,5,4,1,no,no,r programming,cloud computing,excellent,excellent,Software Engineering,Business process analyst,Finance,yes,Math,Management,hard worker,yes,no,CRM Technical Developer
8,6,5,3,yes,yes,machine learning,hacking,excellent,poor,Software Engineering,Business process analyst,Cloud Services,no,Cookbooks,Technical,hard worker,no,yes,CRM Technical Developer
5,2,2,3,yes,yes,r programming,hacking,medium,medium,IOT,security,Web Services,no,Romance,Technical,smart worker,yes,no,CRM Technical Developer
4,4,1,8,no,yes,hadoop,database security,excellent,excellent,cloud computing,cloud computing,BPA,yes,Horror,Management,smart worker,no,no,CRM Technical Developer
5,3,3,7,no,no,python,hacking,excellent,poor,hacking,developer,product development,yes,Poetry,Management,smart worker,yes,yes,CRM Technical Developer
6,6,7,9,yes,yes,r programming,database security,excellent,medium,hacking,security,Testing and Maintainance Services,no,Drama,Management,hard worker,no,no,CRM Technical Developer
7,6,1,1,no,yes,information security,cloud computing,medium,poor,Management,Business process analyst,Product based,no,Horror,Management,smart worker,no,yes,CRM Technical Developer
5,6,8,4,no,yes,information security,web technologies,excellent,poor,Software Engineering,security,product development,yes,Childrens,Management,smart worker,yes,no,CRM Technical Developer
7,2,5,5,yes,no,distro making,data science,poor,excellent,Software Engineering,testing,Testing and Maintainance Services,yes,Trilogy,Management,smart worker,yes,no,CRM Technical Developer
5,3,3,4,no,yes,information security,system designing,poor,poor,data engineering,cloud computing,BPA,no,Health,Management,hard worker,no,no,CRM Technical Developer
6,5,8,1,yes,yes,information security,data science,poor,excellent,programming,system developer,Cloud Services,yes,Science fiction,Technical,hard worker,no,no,CRM Technical Developer
1,3,4,4,yes,yes,hadoop,data science,excellent,poor,programming,testing,product development,yes,Trilogy,Management,hard worker,yes,yes,CRM Technical Developer
4,2,3,4,yes,no,full stack,cloud computing,medium,medium,hacking,developer,Finance,yes,Satire,Technical,smart worker,no,yes,CRM Technical Developer
9,6,9,9,no,no,full stack,cloud computing,poor,excellent,Computer Architecture,cloud computing,BPA,no,Satire,Management,smart worker,yes,no,CRM Technical Developer
6,6,6,1,yes,yes,shell programming,testing,poor,medium,IOT,cloud computing,Service Based,yes,Math,Management,hard worker,yes,yes,CRM Technical Developer
3,5,4,1,yes,yes,machine learning,testing,poor,excellent,cloud computing,security,Sales and Marketing,yes,Autobiographies,Management,hard worker,no,yes,CRM Technical Developer
1,0,9,7,no,no,information security,system designing,poor,medium,Computer Architecture,security,Testing and Maintainance Services,yes,Science fiction,Management,smart worker,yes,yes,CRM Technical Developer
2,3,3,8,yes,yes,python,data science,poor,poor,cloud computing,security,Product based,yes,Guide,Management,smart worker,yes,yes,CRM Technical Developer
6,2,9,9,no,no,shell programming,testing,poor,poor,networks,system developer,Testing and Maintainance Services,no,Prayer books,Technical,smart worker,no,yes,CRM Technical Developer
5,1,5,1,no,no,hadoop,game development,poor,poor,Computer Architecture,testing,Testing and Maintainance Services,yes,Anthology,Technical,smart worker,yes,yes,CRM Technical Developer
8,0,7,4,no,no,r programming,testing,poor,poor,data engineering,Business process analyst,Sales and Marketing,yes,Trilogy,Technical,smart worker,yes,no,CRM Technical Developer
8,5,2,1,no,yes,information security,cloud computing,poor,excellent,networks,Business process analyst,Cloud Services,no,Diaries,Management,smart worker,yes,no,CRM Technical Developer
3,2,2,6,yes,no,distro making,cloud computing,excellent,medium,data engineering,security,BPA,yes,Trilogy,Management,hard worker,yes,yes,CRM Technical Developer
8,6,2,6,yes,yes,distro making,web technologies,excellent,excellent,data engineering,system developer,Sales and Marketing,no,Fantasy,Management,hard worker,yes,no,CRM Technical Developer
1,5,4,5,no,yes,machine learning,hacking,excellent,excellent,parallel computing,developer,Testing and Maintainance Services,no,Science,Technical,hard worker,yes,no,CRM Technical Developer
7,1,7,7,yes,no,r programming,testing,medium,excellent,parallel computing,security,Cloud Services,yes,Horror,Technical,smart worker,yes,yes,CRM Technical Developer
4,3,3,1,no,no,app development,data science,excellent,excellent,Software Engineering,developer,Service Based,yes,Childrens,Management,hard worker,no,no,CRM Technical Developer
5,1,8,8,yes,yes,shell programming,web technologies,excellent,excellent,Computer Architecture,system developer,Web Services,no,Horror,Technical,hard worker,yes,no,CRM Technical Developer
8,1,4,9,no,no,hadoop,system designing,excellent,excellent,hacking,cloud computing,BPA,no,Comics,Technical,hard worker,yes,no,CRM Technical Developer
4,4,7,6,yes,yes,app development,game development,poor,excellent,parallel computing,security,Testing and Maintainance Services,yes,Comics,Technical,hard worker,yes,no,CRM Technical Developer
6,2,7,7,yes,yes,python,game development,excellent,excellent,cloud computing,cloud computing,Cloud Services,no,Satire,Technical,hard worker,yes,yes,CRM Technical Developer
8,4,9,3,yes,yes,python,testing,medium,medium,IOT,system developer,product development,no,Mystery,Technical,smart worker,yes,no,CRM Technical Developer
9,1,5,4,no,yes,app development,game development,poor,medium,networks,testing,Web Services,no,Science,Management,smart worker,no,no,CRM Technical Developer
1,6,9,9,yes,yes,app development,testing,excellent,excellent,hacking,security,Web Services,yes,Romance,Technical,smart worker,no,no,CRM Technical Developer
5,1,7,1,yes,yes,distro making,database security,excellent,poor,Computer Architecture,system developer,Sales and Marketing,no,Biographies,Technical,hard worker,yes,no,CRM Technical Developer
1,0,8,6,yes,yes,python,system designing,excellent,excellent,parallel computing,security,Product based,no,Guide,Management,smart worker,no,no,CRM Technical Developer
1,3,7,4,no,no,shell programming,data science,medium,excellent,Software Engineering,developer,SAaS services,yes,Art,Management,hard worker,yes,no,CRM Technical Developer
8,1,7,2,no,no,shell programming,hacking,medium,excellent,parallel computing,Business process analyst,BPA,no,Anthology,Technical,hard worker,yes,no,CRM Technical Developer
3,3,5,1,no,yes,r programming,hacking,medium,medium,IOT,system developer,Service Based,yes,Fantasy,Management,smart worker,yes,no,CRM Technical Developer
6,0,3,1,yes,yes,hadoop,hacking,excellent,poor,networks,security,SAaS services,no,History,Management,smart worker,yes,yes,CRM Technical Developer
1,6,4,7,yes,yes,python,database security,excellent,excellent,programming,testing,Testing and Maintainance Services,no,Anthology,Management,smart worker,yes,yes,CRM Technical Developer
3,3,3,8,yes,yes,full stack,testing,medium,excellent,Management,Business process analyst,Testing and Maintainance Services,no,Health,Technical,smart worker,yes,no,CRM Technical Developer
4,3,3,3,yes,no,information security,cloud computing,excellent,medium,parallel computing,system developer,Service Based,no,Guide,Technical,hard worker,yes,no,CRM Technical Developer
7,3,6,7,yes,no,python,web technologies,medium,excellent,data engineering,Business process analyst,Cloud Services,yes,Health,Technical,hard worker,yes,yes,CRM Technical Developer
1,2,8,1,yes,no,shell programming,game development,poor,poor,hacking,cloud computing,Sales and Marketing,yes,Fantasy,Technical,smart worker,yes,no,CRM Technical Developer
4,5,2,7,yes,no,python,system designing,medium,medium,hacking,Business process analyst,Testing and Maintainance Services,yes,Mystery,Management,smart worker,yes,no,CRM Technical Developer
7,2,6,9,yes,yes,machine learning,game development,medium,excellent,IOT,developer,SAaS services,yes,Self help,Technical,smart worker,yes,yes,CRM Technical Developer
1,6,4,4,no,yes,app development,web technologies,poor,poor,parallel computing,cloud computing,Product based,no,Action and Adventure,Management,smart worker,no,no,CRM Technical Developer
1,2,8,2,no,yes,distro making,database security,medium,medium,Computer Architecture,testing,Product based,no,Anthology,Management,hard worker,no,no,CRM Technical Developer
8,0,5,4,no,no,full stack,cloud computing,poor,excellent,Management,security,Service Based,yes,Journals,Technical,smart worker,no,yes,CRM Technical Developer
6,4,1,3,yes,yes,shell programming,game development,excellent,poor,hacking,developer,Sales and Marketing,yes,Poetry,Technical,smart worker,no,no,CRM Technical Developer
1,2,1,4,yes,yes,full stack,testing,poor,medium,Computer Architecture,developer,Sales and Marketing,yes,Satire,Technical,hard worker,yes,yes,CRM Technical Developer
6,3,2,4,yes,no,python,database security,excellent,excellent,Computer Architecture,cloud computing,SAaS services,no,Action and Adventure,Technical,hard worker,no,no,CRM Technical Developer
6,4,6,4,yes,no,python,testing,medium,excellent,parallel computing,Business process analyst,BPA,no,Travel,Technical,smart worker,yes,yes,CRM Technical Developer
5,2,7,6,no,no,machine learning,cloud computing,poor,poor,hacking,developer,product development,yes,Math,Management,hard worker,yes,yes,CRM Technical Developer
1,1,5,7,yes,no,machine learning,hacking,excellent,poor,parallel computing,cloud computing,product development,yes,Poetry,Management,smart worker,yes,no,CRM Technical Developer
6,0,1,9,yes,no,r programming,testing,medium,excellent,networks,cloud computing,Service Based,yes,Trilogy,Management,hard worker,no,yes,CRM Technical Developer
7,0,9,5,yes,no,information security,cloud computing,poor,medium,networks,testing,Web Services,no,Horror,Technical,smart worker,no,no,CRM Technical Developer
8,2,4,4,yes,yes,distro making,data science,poor,excellent,data engineering,developer,SAaS services,yes,Comics,Technical,smart worker,no,yes,CRM Technical Developer
4,2,4,8,no,no,r programming,web technologies,medium,poor,cloud computing,security,Testing and Maintainance Services,no,Journals,Management,smart worker,no,no,CRM Technical Developer
9,1,8,6,yes,yes,distro making,hacking,poor,medium,programming,security,Testing and Maintainance Services,no,Action and Adventure,Management,hard worker,yes,yes,CRM Technical Developer
1,5,5,7,yes,yes,machine learning,database security,excellent,excellent,programming,developer,Cloud Services,yes,Fantasy,Technical,smart worker,no,yes,CRM Technical Developer
8,3,8,9,no,yes,hadoop,hacking,excellent,medium,cloud computing,Business process analyst,product development,no,Action and Adventure,Management,smart worker,yes,no,CRM Technical Developer
6,6,6,4,yes,no,hadoop,data science,medium,poor,cloud computing,system developer,Product based,no,Guide,Management,hard worker,yes,no,CRM Technical Developer
5,6,6,2,no,yes,hadoop,hacking,poor,poor,Management,Business process analyst,Testing and Maintainance Services,no,Cookbooks,Technical,smart worker,no,yes,CRM Technical Developer
4,6,1,7,no,no,python,hacking,excellent,excellent,IOT,cloud computing,Cloud Services,yes,Travel,Technical,smart worker,yes,no,CRM Technical Developer
1,5,7,7,no,yes,distro making,web technologies,excellent,excellent,programming,cloud computing,Cloud Services,no,Autobiographies,Technical,smart worker,no,no,CRM Technical Developer
5,0,8,3,yes,no,information security,cloud computing,medium,medium,cloud computing,security,SAaS services,yes,Diaries,Management,smart worker,no,yes,CRM Technical Developer
4,3,5,7,no,yes,full stack,cloud computing,medium,excellent,hacking,testing,Sales and Marketing,no,Drama,Technical,hard worker,yes,yes,CRM Technical Developer
8,6,8,8,no,yes,information security,cloud computing,poor,poor,hacking,Business process analyst,Cloud Services,no,Travel,Technical,hard worker,no,yes,CRM Technical Developer
9,1,5,7,no,yes,distro making,system designing,excellent,poor,networks,system developer,Product based,no,Health,Technical,smart worker,yes,no,CRM Technical Developer
2,1,8,1,no,yes,machine learning,testing,medium,poor,Software Engineering,system developer,Web Services,no,Health,Technical,smart worker,yes,yes,CRM Technical Developer
2,5,9,3,no,yes,r programming,system designing,poor,excellent,data engineering,security,Cloud Services,yes,Drama,Management,smart worker,no,no,CRM Technical Developer
6,6,3,3,yes,no,r programming,system designing,poor,poor,programming,testing,Service Based,yes,Satire,Technical,smart worker,yes,yes,CRM Technical Developer
9,2,1,8,yes,yes,shell programming,game development,medium,poor,networks,cloud computing,Sales and Marketing,no,Comics,Management,smart worker,no,yes,CRM Technical Developer
1,5,8,8,yes,no,information security,cloud computing,poor,medium,programming,testing,Finance,yes,Action and Adventure,Management,smart worker,yes,yes,CRM Technical Developer
2,2,2,9,yes,no,full stack,system designing,medium,excellent,Computer Architecture,security,Testing and Maintainance Services,yes,Dictionaries,Technical,hard worker,yes,no,CRM Technical Developer
3,0,3,8,no,no,shell programming,web technologies,medium,medium,Software Engineering,system developer,Testing and Maintainance Services,no,Childrens,Management,smart worker,yes,yes,CRM Technical Developer
8,2,1,2,yes,yes,app development,database security,excellent,excellent,Software Engineering,Business process analyst,Service Based,yes,Diaries,Management,smart worker,yes,no,CRM Technical Developer
4,0,1,5,yes,yes,python,system designing,medium,medium,Computer Architecture,testing,Cloud Services,no,Science fiction,Management,smart worker,no,yes,CRM Technical Developer
2,0,4,2,no,no,hadoop,database security,medium,poor,hacking,testing,SAaS services,yes,Drama,Technical,smart worker,yes,yes,CRM Technical Developer
6,2,6,8,yes,no,python,database security,poor,medium,Computer Architecture,system developer,Product based,no,Health,Technical,hard worker,no,yes,CRM Technical Developer
9,0,7,5,yes,no,r programming,hacking,medium,poor,programming,developer,Service Based,no,Diaries,Management,hard worker,no,yes,CRM Technical Developer
5,4,5,2,yes,no,app development,web technologies,excellent,poor,Computer Architecture,developer,Cloud Services,no,Poetry,Management,smart worker,no,yes,CRM Technical Developer
3,5,5,8,yes,no,distro making,web technologies,poor,medium,networks,cloud computing,product development,no,Anthology,Technical,smart worker,yes,no,CRM Technical Developer
4,0,4,4,no,no,information security,game development,excellent,poor,Management,cloud computing,Product based,no,Religion-Spirituality,Technical,smart worker,yes,no,CRM Technical Developer
1,4,4,4,yes,no,distro making,cloud computing,medium,medium,data engineering,developer,Product based,yes,Action and Adventure,Management,hard worker,yes,no,CRM Technical Developer
9,5,3,3,yes,no,app development,testing,poor,poor,Management,developer,Product based,yes,Romance,Technical,hard worker,no,no,CRM Technical Developer
4,5,8,5,yes,yes,python,system designing,excellent,medium,Software Engineering,cloud computing,Finance,yes,Prayer books,Technical,hard worker,yes,yes,CRM Technical Developer
7,1,9,2,yes,no,full stack,database security,poor,medium,Computer Architecture,system developer,product development,no,Art,Technical,hard worker,no,yes,CRM Technical Developer
7,1,2,2,yes,no,hadoop,web technologies,excellent,excellent,data engineering,security,Cloud Services,no,Satire,Management,hard worker,yes,yes,CRM Technical Developer
9,5,4,5,yes,no,app development,web technologies,medium,excellent,Software Engineering,testing,Product based,no,Horror,Management,smart worker,yes,no,CRM Technical Developer
8,4,9,3,no,yes,python,system designing,medium,excellent,hacking,developer,Testing and Maintainance Services,yes,Health,Management,hard worker,yes,yes,CRM Technical Developer
4,1,6,8,no,no,machine learning,game development,excellent,poor,cloud computing,system developer,Web Services,no,History,Management,smart worker,yes,no,CRM Technical Developer
4,6,4,9,yes,yes,hadoop,system designing,poor,excellent,Software Engineering,Business process analyst,BPA,yes,Guide,Technical,smart worker,no,yes,CRM Technical Developer
1,0,8,6,no,yes,machine learning,game development,medium,medium,Computer Architecture,developer,BPA,yes,Mystery,Technical,hard worker,yes,no,CRM Technical Developer
7,3,6,5,yes,yes,full stack,system designing,excellent,excellent,cloud computing,developer,product development,yes,Biographies,Technical,smart worker,no,yes,CRM Technical Developer
9,3,9,5,yes,no,app development,web technologies,excellent,medium,Computer Architecture,cloud computing,Product based,no,Dictionaries,Management,hard worker,no,no,CRM Technical Developer
4,5,5,1,yes,yes,shell programming,game development,poor,medium,programming,Business process analyst,SAaS services,yes,Travel,Technical,smart worker,yes,yes,CRM Technical Developer
7,3,2,2,no,yes,information security,system designing,poor,medium,data engineering,system developer,Testing and Maintainance Services,yes,Mystery,Management,hard worker,no,yes,CRM Technical Developer
4,2,4,8,yes,no,machine learning,web technologies,medium,poor,IOT,security,product development,no,Diaries,Management,hard worker,no,no,CRM Technical Developer
7,1,2,7,no,yes,shell programming,testing,excellent,medium,cloud computing,system developer,Sales and Marketing,yes,Cookbooks,Management,hard worker,yes,yes,CRM Technical Developer
1,4,2,9,no,yes,full stack,web technologies,excellent,medium,hacking,security,BPA,no,Satire,Management,smart worker,yes,no,CRM Technical Developer
3,4,6,4,yes,no,full stack,system designing,excellent,excellent,networks,developer,Service Based,yes,Horror,Management,hard worker,yes,no,CRM Technical Developer
3,6,7,3,yes,no,app development,game development,medium,poor,Computer Architecture,testing,product development,yes,Fantasy,Technical,smart worker,yes,no,CRM Technical Developer
5,5,5,3,no,yes,r programming,web technologies,medium,medium,Computer Architecture,security,Finance,no,Dictionaries,Technical,smart worker,yes,no,CRM Technical Developer
7,5,6,7,no,no,information security,hacking,medium,poor,programming,cloud computing,Testing and Maintainance Services,no,Fantasy,Technical,smart worker,yes,no,CRM Technical Developer
2,1,7,1,no,yes,information security,system designing,excellent,poor,Management,developer,Finance,no,Horror,Technical,smart worker,no,no,CRM Technical Developer
8,3,5,7,no,yes,r programming,web technologies,medium,poor,parallel computing,testing,Sales and Marketing,no,Satire,Technical,smart worker,no,yes,CRM Technical Developer
5,3,9,4,no,no,shell programming,database security,poor,medium,Computer Architecture,security,BPA,no,History,Technical,hard worker,yes,no,CRM Technical Developer
9,1,2,9,no,yes,information security,hacking,poor,poor,programming,security,product development,no,Math,Management,hard worker,no,no,CRM Technical Developer
2,4,9,1,yes,yes,hadoop,database security,excellent,excellent,cloud computing,developer,Sales and Marketing,yes,Trilogy,Management,smart worker,yes,yes,CRM Technical Developer
1,1,8,6,no,yes,machine learning,cloud computing,poor,medium,parallel computing,developer,Product based,no,History,Management,smart worker,no,yes,CRM Technical Developer
4,3,9,7,no,yes,information security,testing,poor,excellent,parallel computing,system developer,BPA,yes,Series,Management,smart worker,yes,yes,CRM Technical Developer
7,5,3,2,yes,no,app development,cloud computing,poor,poor,IOT,system developer,Product based,no,Series,Technical,hard worker,yes,yes,CRM Technical Developer
8,4,6,1,no,yes,machine learning,game development,medium,medium,Computer Architecture,security,Testing and Maintainance Services,yes,Health,Technical,hard worker,yes,no,CRM Technical Developer
3,2,1,8,yes,no,r programming,hacking,poor,poor,Software Engineering,system developer,Cloud Services,yes,Math,Management,smart worker,yes,no,CRM Technical Developer
5,0,7,1,yes,yes,python,hacking,medium,medium,hacking,cloud computing,Product based,yes,Romance,Management,smart worker,yes,no,CRM Technical Developer
9,6,9,1,no,yes,app development,testing,medium,medium,Management,security,SAaS services,yes,Horror,Management,smart worker,no,yes,CRM Technical Developer
6,4,1,9,no,yes,shell programming,cloud computing,excellent,medium,programming,testing,Web Services,no,Self help,Management,hard worker,yes,no,CRM Technical Developer
2,2,9,8,no,no,distro making,data science,medium,poor,programming,developer,SAaS services,yes,Autobiographies,Technical,smart worker,no,yes,CRM Technical Developer
7,6,4,8,no,yes,r programming,database security,poor,excellent,data engineering,Business process analyst,Service Based,yes,Childrens,Management,smart worker,yes,no,CRM Technical Developer
4,0,4,8,yes,yes,shell programming,cloud computing,excellent,excellent,cloud computing,system developer,Web Services,no,Prayer books,Management,hard worker,yes,no,Database Developer
3,2,3,3,no,yes,r programming,cloud computing,excellent,poor,parallel computing,security,BPA,no,Drama,Technical,hard worker,yes,yes,Database Developer
5,0,2,5,yes,yes,app development,game development,medium,poor,parallel computing,security,Product based,no,Journals,Technical,hard worker,yes,no,Database Developer
2,0,1,4,no,no,hadoop,testing,poor,poor,networks,security,product development,yes,Fantasy,Management,smart worker,yes,no,Database Developer
3,5,4,9,yes,no,hadoop,system designing,excellent,poor,networks,testing,Product based,no,Trilogy,Management,hard worker,no,yes,Database Developer
6,0,6,1,no,yes,full stack,data science,medium,excellent,data engineering,Business process analyst,Finance,yes,Science,Technical,smart worker,no,no,Database Developer
9,6,5,9,no,yes,distro making,web technologies,excellent,excellent,Software Engineering,Business process analyst,Finance,no,Guide,Management,hard worker,no,yes,Database Developer
5,3,7,6,yes,yes,python,game development,medium,poor,parallel computing,testing,Testing and Maintainance Services,yes,Anthology,Management,hard worker,yes,yes,Database Developer
7,1,2,3,yes,yes,machine learning,game development,poor,excellent,IOT,Business process analyst,Sales and Marketing,yes,Poetry,Technical,smart worker,yes,no,Database Developer
3,5,9,2,yes,yes,shell programming,database security,excellent,medium,parallel computing,developer,Testing and Maintainance Services,yes,Religion-Spirituality,Management,hard worker,yes,no,Database Developer
9,6,7,5,no,no,distro making,cloud computing,excellent,poor,cloud computing,testing,product development,yes,Diaries,Technical,smart worker,yes,yes,Database Developer
8,4,1,2,no,yes,r programming,cloud computing,excellent,medium,data engineering,system developer,SAaS services,no,Horror,Management,smart worker,no,yes,Database Developer
4,6,9,5,no,yes,hadoop,cloud computing,poor,poor,Computer Architecture,developer,Web Services,no,Comics,Technical,hard worker,no,yes,Database Developer
7,5,8,1,yes,yes,full stack,system designing,medium,excellent,Software Engineering,system developer,Web Services,yes,Biographies,Technical,hard worker,no,no,Database Developer
8,5,5,6,yes,yes,hadoop,game development,excellent,excellent,data engineering,security,Web Services,no,Prayer books,Technical,hard worker,no,no,Database Developer
7,6,3,7,yes,no,python,game development,medium,poor,data engineering,developer,Sales and Marketing,no,Fantasy,Technical,smart worker,no,yes,Database Developer
6,6,5,6,no,no,hadoop,web technologies,excellent,poor,cloud computing,Business process analyst,Web Services,no,Prayer books,Management,smart worker,yes,yes,Database Developer
2,6,1,7,yes,no,shell programming,hacking,medium,poor,Software Engineering,testing,Service Based,yes,Autobiographies,Management,hard worker,yes,yes,Database Developer
5,0,5,3,yes,no,r programming,cloud computing,excellent,excellent,programming,cloud computing,Service Based,yes,Mystery,Management,hard worker,yes,yes,Database Developer
6,5,8,3,no,yes,r programming,web technologies,excellent,poor,networks,Business process analyst,Product based,yes,Romance,Management,hard worker,yes,no,Database Developer
4,0,5,3,yes,yes,information security,data science,poor,medium,parallel computing,security,Sales and Marketing,yes,Satire,Management,hard worker,yes,no,Database Developer
5,5,7,1,yes,yes,hadoop,game development,poor,poor,data engineering,cloud computing,Cloud Services,no,Guide,Management,smart worker,yes,yes,Database Developer
8,0,2,3,no,no,python,system designing,poor,medium,cloud computing,system developer,SAaS services,no,Math,Technical,smart worker,no,no,Database Developer
6,6,1,5,yes,yes,r programming,web technologies,poor,excellent,cloud computing,developer,Service Based,no,Guide,Technical,hard worker,yes,yes,Database Developer
3,0,6,1,no,no,shell programming,hacking,medium,poor,parallel computing,security,product development,no,Travel,Technical,smart worker,yes,no,Database Developer
7,3,4,3,yes,no,python,data science,excellent,excellent,Software Engineering,developer,Cloud Services,no,Series,Technical,smart worker,yes,yes,Database Developer
6,4,1,7,no,no,machine learning,cloud computing,excellent,medium,networks,system developer,product development,yes,Guide,Management,hard worker,no,no,Database Developer
3,4,3,3,yes,no,information security,cloud computing,poor,poor,Computer Architecture,Business process analyst,product development,no,Comics,Management,smart worker,yes,yes,Database Developer
6,5,1,4,no,yes,distro making,database security,excellent,poor,hacking,Business process analyst,SAaS services,no,Diaries,Technical,smart worker,yes,yes,Database Developer
7,0,4,7,yes,yes,shell programming,testing,excellent,poor,networks,security,Web Services,no,Poetry,Technical,smart worker,yes,yes,Database Developer
4,5,9,5,no,no,python,system designing,poor,poor,data engineering,testing,product development,no,Cookbooks,Management,hard worker,no,no,Database Developer
9,2,6,9,yes,no,distro making,game development,medium,excellent,Software Engineering,system developer,Finance,yes,Health,Technical,hard worker,yes,yes,Database Developer
3,5,5,1,no,yes,python,data science,medium,poor,data engineering,system developer,product development,no,Comics,Technical,smart worker,yes,no,Database Developer
7,5,5,5,no,no,machine learning,system designing,excellent,medium,IOT,cloud computing,product development,yes,Self help,Technical,hard worker,yes,no,Database Developer
6,5,5,5,yes,yes,shell programming,hacking,poor,poor,Management,security,BPA,yes,Guide,Management,smart worker,yes,yes,Database Developer
3,6,3,5,no,yes,full stack,game development,poor,medium,data engineering,developer,Finance,no,Prayer books,Management,hard worker,no,yes,Database Developer
9,0,7,9,no,no,full stack,cloud computing,excellent,medium,cloud computing,Business process analyst,BPA,yes,Series,Management,smart worker,no,no,Database Developer
9,5,6,3,yes,no,information security,testing,excellent,excellent,programming,system developer,Testing and Maintainance Services,yes,Horror,Technical,hard worker,no,no,Database Developer
2,1,3,6,yes,yes,r programming,testing,excellent,medium,IOT,cloud computing,Cloud Services,no,Dictionaries,Technical,smart worker,yes,no,Database Developer
9,0,6,3,no,yes,r programming,hacking,medium,excellent,data engineering,cloud computing,Product based,no,Childrens,Technical,smart worker,no,no,Database Developer
5,5,9,7,yes,yes,information security,data science,medium,poor,networks,testing,BPA,yes,Science,Technical,hard worker,yes,yes,Database Developer
7,1,1,7,yes,yes,information security,data science,poor,poor,hacking,security,SAaS services,no,Anthology,Management,hard worker,yes,yes,Database Developer
2,3,9,9,yes,yes,machine learning,testing,excellent,medium,hacking,cloud computing,BPA,no,Religion-Spirituality,Management,smart worker,no,yes,Database Developer
6,5,2,6,yes,yes,machine learning,hacking,poor,excellent,hacking,system developer,Finance,yes,Fantasy,Management,hard worker,no,yes,Database Developer
